"splitSummaryData","Descanso_Entre_Reps","Activity_ID","Fecha","Nombre","Tipo","Distancia_Km","Duracion_Min","Calorias","FC_Media","FC_Maxima","Cadencia_Media","Oscilacion_Vertical","Tiempo_Contacto_Suelo","Longitud_Zancada","Training_Effect_Aerobico","Training_Effect_Anaerobico","Tiempo_Recuperacion_Horas","Varianza_FC"
"[{""Tipo_Fase"":""INTERVAL_ACTIVE"",""Numero_Reps"":1,""Distancia_m"":7010.06,""Duracion_s"":2212.56,""Ritmo_Medio_ms"":3.1679999828338623,""Ritmo_Ajustado_Grado"":3.1689999103546143,""Potencia_Media_W"":273,""Potencia_Normalizada_W"":274,""FC_Media"":139,""FC_Maxima"":150,""Calorias"":430,""Cadencia_Media"":173.21875,""Longitud_Zancada_cm"":109.2,""Tiempo_Contacto_Suelo_ms"":252.89999389648438,""Oscilacion_Vertical"":9.080000305175782,""Ratio_Vertical"":8.319999694824219,""Desnivel_Positivo"":7,""Desnivel_Negativo"":1},{""Tipo_Fase"":""RWD_RUN"",""Numero_Reps"":1,""Distancia_m"":7010.06,""Duracion_s"":2212.54,""Ritmo_Medio_ms"":3.1679999828338623,""Ritmo_Ajustado_Grado"":3.1689999103546143,""Potencia_Media_W"":273,""Potencia_Normalizada_W"":274,""FC_Media"":139,""FC_Maxima"":150,""Calorias"":430,""Cadencia_Media"":173.21875,""Longitud_Zancada_cm"":109.2,""Tiempo_Contacto_Suelo_ms"":252.89999389648438,""Oscilacion_Vertical"":9.080000305175782,""Ratio_Vertical"":8.319999694824219,""Desnivel_Positivo"":7,""Desnivel_Negativo"":1}]","",24325961001,"2026-09-11 14:19:43","Benito Juárez Running","running","7.01","36.88",430,139,150,173.21875,9.080000305175782,252.89999389648438,109.2,2.5999999046325684,0,"",""
"[{""Tipo_Fase"":""INTERVAL_ACTIVE"",""Numero_Reps"":10,""Distancia_m"":2802.86,""Duracion_s"":540.447,""Ritmo_Medio_ms"":5.185999870300293,""Ritmo_Ajustado_Grado"":5.056000232696533,""Potencia_Media_W"":384,""Potencia_Normalizada_W"":376,""FC_Media"":171,""FC_Maxima"":188,""Calorias"":138,""Cadencia_Media"":177.421875,""Longitud_Zancada_cm"":165.60000000000002,""Tiempo_Contacto_Suelo_ms"":186,""Oscilacion_Vertical"":8.830000305175782,""Ratio_Vertical"":5.409999847412109,""Desnivel_Positivo"":0,""Desnivel_Negativo"":2},{""Tipo_Fase"":""INTERVAL_RECOVERY"",""Numero_Reps"":14,""Distancia_m"":1303.12,""Duracion_s"":1045.174,""Ritmo_Medio_ms"":1.246999979019165,""Ritmo_Ajustado_Grado"":1.3980000019073486,""Potencia_Media_W"":88,""Potencia_Normalizada_W"":245,""FC_Media"":143,""FC_Maxima"":187,""Calorias"":168,""Cadencia_Media"":93.203125,""Longitud_Zancada_cm"":87.67000122070313,""Tiempo_Contacto_Suelo_ms"":288.20001220703125,""Oscilacion_Vertical"":6.090000152587891,""Ratio_Vertical"":8,""Desnivel_Positivo"":1,""Desnivel_Negativo"":1},{""Tipo_Fase"":""RWD_WALK"",""Numero_Reps"":21,""Distancia_m"":1047.75,""Duracion_s"":840.628,""Ritmo_Medio_ms"":1.246000051498413,""Ritmo_Ajustado_Grado"":1.13100004196167,""Potencia_Media_W"":64,""Potencia_Normalizada_W"":148,""FC_Media"":138,""FC_Maxima"":181,""Calorias"":123,""Cadencia_Media"":88.859375,""Longitud_Zancada_cm"":72.27999877929688,""Tiempo_Contacto_Suelo_ms"":426.79998779296875,""Oscilacion_Vertical"":5.7,""Ratio_Vertical"":8.210000038146973,""Desnivel_Positivo"":1,""Desnivel_Negativo"":1},{""Tipo_Fase"":""INTERVAL_WARMUP"",""Numero_Reps"":6,""Distancia_m"":3516,""Duracion_s"":1023.851,""Ritmo_Medio_ms"":3.434000015258789,""Ritmo_Ajustado_Grado"":3.394999980926514,""Potencia_Media_W"":290,""Potencia_Normalizada_W"":289,""FC_Media"":140,""FC_Maxima"":166,""Calorias"":206,""Cadencia_Media"":169,""Longitud_Zancada_cm"":118.6300048828125,""Tiempo_Contacto_Suelo_ms"":246.6999969482422,""Oscilacion_Vertical"":9.36999969482422,""Ratio_Vertical"":8,""Desnivel_Positivo"":3,""Desnivel_Negativo"":1},{""Tipo_Fase"":""RWD_STAND"",""Numero_Reps"":8,""Distancia_m"":21.28,""Duracion_s"":51,""Ritmo_Medio_ms"":0.4169999957084656,""Ritmo_Ajustado_Grado"":0,""Potencia_Media_W"":0,""Potencia_Normalizada_W"":186,""FC_Media"":124,""FC_Maxima"":181,""Calorias"":5,""Cadencia_Media"":0,""Desnivel_Positivo"":0,""Desnivel_Negativo"":0},{""Tipo_Fase"":""RWD_RUN"",""Numero_Reps"":16,""Distancia_m"":6552.94,""Duracion_s"":1718.177,""Ritmo_Medio_ms"":3.813999891281128,""Ritmo_Ajustado_Grado"":3.930999994277954,""Potencia_Media_W"":318,""Potencia_Normalizada_W"":335,""FC_Media"":154,""FC_Maxima"":188,""Calorias"":384,""Cadencia_Media"":170.40625,""Longitud_Zancada_cm"":134.8800048828125,""Tiempo_Contacto_Suelo_ms"":227.6999969482422,""Oscilacion_Vertical"":9.10999984741211,""Ratio_Vertical"":7.139999866485596,""Desnivel_Positivo"":3,""Desnivel_Negativo"":3}]","≈1:15 x14 (INTERVAL_RECOVERY)",24316284302,"2026-09-10 18:42:12","Benito Juárez - Jueves","running","7.62","43.50",512,148,188,140.765625,8.1,232.60000610351562,124.1300048828125,3.5,3,"",""
"[{""Tipo_Fase"":""RWD_STAND"",""Numero_Reps"":2,""Distancia_m"":5.04,""Duracion_s"":40,""Ritmo_Medio_ms"":0.12600000202655792,""Ritmo_Ajustado_Grado"":0,""Potencia_Media_W"":0,""Potencia_Normalizada_W"":161,""FC_Media"":131,""FC_Maxima"":143,""Calorias"":7,""Cadencia_Media"":0,""Desnivel_Positivo"":0,""Desnivel_Negativo"":0},{""Tipo_Fase"":""RWD_RUN"",""Numero_Reps"":18,""Distancia_m"":5271.21,""Duracion_s"":1833.305,""Ritmo_Medio_ms"":2.875,""Ritmo_Ajustado_Grado"":2.9830000400543213,""Potencia_Media_W"":245,""Potencia_Normalizada_W"":249,""FC_Media"":131,""FC_Maxima"":172,""Calorias"":316,""Cadencia_Media"":163.3125,""Longitud_Zancada_cm"":102.73000488281251,""Tiempo_Contacto_Suelo_ms"":267.6000061035156,""Oscilacion_Vertical"":8.35999984741211,""Ratio_Vertical"":8.609999656677246,""Desnivel_Positivo"":87,""Desnivel_Negativo"":45},{""Tipo_Fase"":""INTERVAL_WARMUP"",""Numero_Reps"":5,""Distancia_m"":2516.12,""Duracion_s"":794.91,""Ritmo_Medio_ms"":3.164999961853028,""Ritmo_Ajustado_Grado"":3.1419999599456787,""Potencia_Media_W"":268,""Potencia_Normalizada_W"":263,""FC_Media"":127,""FC_Maxima"":148,""Calorias"":143,""Cadencia_Media"":172.25,""Longitud_Zancada_cm"":107.8800048828125,""Tiempo_Contacto_Suelo_ms"":250.1999969482422,""Oscilacion_Vertical"":8.8,""Ratio_Vertical"":8.25,""Desnivel_Positivo"":11,""Desnivel_Negativo"":7},{""Tipo_Fase"":""RWD_WALK"",""Numero_Reps"":18,""Distancia_m"":902.62,""Duracion_s"":679.099,""Ritmo_Medio_ms"":1.3289999961853027,""Ritmo_Ajustado_Grado"":1.2999999523162842,""Potencia_Media_W"":91,""Potencia_Normalizada_W"":211,""FC_Media"":134,""FC_Maxima"":168,""Calorias"":99,""Cadencia_Media"":109.46875,""Longitud_Zancada_cm"":69.49000244140625,""Tiempo_Contacto_Suelo_ms"":416.5,""Oscilacion_Vertical"":5.9,""Ratio_Vertical"":8.789999961853027,""Desnivel_Positivo"":0,""Desnivel_Negativo"":54},{""Tipo_Fase"":""INTERVAL_ACTIVE"",""Numero_Reps"":10,""Distancia_m"":753.27,""Duracion_s"":150,""Ritmo_Medio_ms"":5.021999835968017,""Ritmo_Ajustado_Grado"":4.211999893188477,""Potencia_Media_W"":307,""Potencia_Normalizada_W"":168,""FC_Media"":134,""FC_Maxima"":166,""Calorias"":23,""Cadencia_Media"":154.640625,""Longitud_Zancada_cm"":146.5,""Tiempo_Contacto_Suelo_ms"":249.5,""Oscilacion_Vertical"":8.819999694824219,""Ratio_Vertical"":6.940000057220459,""Desnivel_Positivo"":19,""Desnivel_Negativo"":2},{""Tipo_Fase"":""INTERVAL_COOLDOWN"",""Numero_Reps"":1,""Distancia_m"":1331.81,""Duracion_s"":573.688,""Ritmo_Medio_ms"":2.321000099182129,""Ritmo_Ajustado_Grado"":2.325000047683716,""Potencia_Media_W"":196,""Potencia_Normalizada_W"":218,""FC_Media"":129,""FC_Maxima"":170,""Calorias"":87,""Cadencia_Media"":159.703125,""Longitud_Zancada_cm"":87.87999877929688,""Tiempo_Contacto_Suelo_ms"":277,""Oscilacion_Vertical"":7.930000305175781,""Ratio_Vertical"":9.329999923706055,""Desnivel_Positivo"":5,""Desnivel_Negativo"":19},{""Tipo_Fase"":""INTERVAL_RECOVERY"",""Numero_Reps"":13,""Distancia_m"":1577.68,""Duracion_s"":1033.696,""Ritmo_Medio_ms"":1.5260000228881836,""Ritmo_Ajustado_Grado"":1.8209999799728394,""Potencia_Media_W"":135,""Potencia_Normalizada_W"":236,""FC_Media"":136,""FC_Maxima"":172,""Calorias"":167,""Cadencia_Media"":117.546875,""Longitud_Zancada_cm"":81.39000244140625,""Tiempo_Contacto_Suelo_ms"":333.20001220703125,""Oscilacion_Vertical"":6.45999984741211,""Ratio_Vertical"":8.869999885559082,""Desnivel_Positivo"":52,""Desnivel_Negativo"":70}]","≈1:20 x13 (INTERVAL_RECOVERY)",24260880331,"2026-09-06 08:03:59","Miguel Hidalgo - Domingo","running","6.18","42.54",421,131,172,146.359375,7.70999984741211,277,96.57999877929689,2.4000000953674316,2.299999952316284,"",""
"[{""Tipo_Fase"":""RWD_WALK"",""Numero_Reps"":4,""Distancia_m"":129.92,""Duracion_s"":128.18,""Ritmo_Medio_ms"":1.0140000581741333,""Ritmo_Ajustado_Grado"":0.9390000104904175,""Potencia_Media_W"":68,""Potencia_Normalizada_W"":94,""FC_Media"":115,""FC_Maxima"":147,""Calorias"":8,""Cadencia_Media"":112.75,""Longitud_Zancada_cm"":51.475560388690276,""Tiempo_Contacto_Suelo_ms"":443.79998779296875,""Oscilacion_Vertical"":5.50999984741211,""Desnivel_Positivo"":0,""Desnivel_Negativo"":2},{""Tipo_Fase"":""INTERVAL_ACTIVE"",""Numero_Reps"":2,""Distancia_m"":15000,""Duracion_s"":4204.2,""Ritmo_Medio_ms"":3.5680000782012944,""Ritmo_Ajustado_Grado"":3.5669999122619633,""Potencia_Media_W"":304,""Potencia_Normalizada_W"":306,""FC_Media"":150,""FC_Maxima"":170,""Calorias"":898,""Cadencia_Media"":179.390625,""Longitud_Zancada_cm"":118.5699951171875,""Tiempo_Contacto_Suelo_ms"":235.3000030517578,""Oscilacion_Vertical"":8.930000305175781,""Ratio_Vertical"":7.550000190734863,""Desnivel_Positivo"":38,""Desnivel_Negativo"":31},{""Tipo_Fase"":""RWD_STAND"",""Numero_Reps"":1,""Duracion_s"":0},{""Tipo_Fase"":""RWD_RUN"",""Numero_Reps"":4,""Distancia_m"":15044.23,""Duracion_s"":4233.688,""Ritmo_Medio_ms"":3.5529999732971196,""Ritmo_Ajustado_Grado"":3.556999921798706,""Potencia_Media_W"":304,""Potencia_Normalizada_W"":306,""FC_Media"":150,""FC_Maxima"":170,""Calorias"":904,""Cadencia_Media"":179.265625,""Longitud_Zancada_cm"":118.5,""Tiempo_Contacto_Suelo_ms"":236.10000610351562,""Oscilacion_Vertical"":8.919999694824218,""Ratio_Vertical"":7.550000190734863,""Desnivel_Positivo"":38,""Desnivel_Negativo"":31},{""Tipo_Fase"":""INTERVAL_COOLDOWN"",""Numero_Reps"":1,""Distancia_m"":174.15,""Duracion_s"":157.642,""Ritmo_Medio_ms"":1.1050000190734863,""Ritmo_Ajustado_Grado"":1.1710000038146973,""Potencia_Media_W"":92,""Potencia_Normalizada_W"":203,""FC_Media"":124,""FC_Maxima"":167,""Calorias"":14,""Cadencia_Media"":120.6875,""Longitud_Zancada_cm"":100.77999877929688,""Tiempo_Contacto_Suelo_ms"":361,""Oscilacion_Vertical"":5.820000076293946,""Ratio_Vertical"":8.670000076293945,""Desnivel_Positivo"":0,""Desnivel_Negativo"":2}]","",24247973640,"2026-09-05 07:05:18","Benito Juárez - fondo","running","15.17","72.70",911,149,170,177.265625,8.830000305175782,236.39999389648438,118.5,3.799999952316284,0,"",""
"[{""Tipo_Fase"":""INTERVAL_ACTIVE"",""Numero_Reps"":1,""Distancia_m"":8007.73,""Duracion_s"":2640.17,""Ritmo_Medio_ms"":3.0329999923706055,""Ritmo_Ajustado_Grado"":3.0280001163482666,""Potencia_Media_W"":262,""Potencia_Normalizada_W"":263,""FC_Media"":130,""FC_Maxima"":148,""Calorias"":474,""Cadencia_Media"":170.953125,""Longitud_Zancada_cm"":106.2800048828125,""Tiempo_Contacto_Suelo_ms"":259.6000061035156,""Oscilacion_Vertical"":9.15,""Ratio_Vertical"":8.619999885559082,""Desnivel_Positivo"":2,""Desnivel_Negativo"":3},{""Tipo_Fase"":""RWD_RUN"",""Numero_Reps"":1,""Distancia_m"":8007.73,""Duracion_s"":2640.155,""Ritmo_Medio_ms"":3.0329999923706055,""Ritmo_Ajustado_Grado"":3.0280001163482666,""Potencia_Media_W"":262,""Potencia_Normalizada_W"":263,""FC_Media"":130,""FC_Maxima"":148,""Calorias"":474,""Cadencia_Media"":170.953125,""Longitud_Zancada_cm"":106.2800048828125,""Tiempo_Contacto_Suelo_ms"":259.6000061035156,""Oscilacion_Vertical"":9.15,""Ratio_Vertical"":8.619999885559082,""Desnivel_Positivo"":2,""Desnivel_Negativo"":3}]","",24234761699,"2026-09-04 06:02:48","Benito Juárez Running","running","8.01","44.00",474,130,148,170.96875,9.15,259.6000061035156,106.2800048828125,2.5,0,"",""
"[{""Tipo_Fase"":""INTERVAL_ACTIVE"",""Numero_Reps"":10,""Distancia_m"":4000,""Duracion_s"":741.957,""Ritmo_Medio_ms"":5.390999794006348,""Ritmo_Ajustado_Grado"":5.1579999923706055,""Potencia_Media_W"":391,""Potencia_Normalizada_W"":374,""FC_Media"":174,""FC_Maxima"":190,""Calorias"":187,""Cadencia_Media"":179.734375,""Longitud_Zancada_cm"":165.81999511718752,""Tiempo_Contacto_Suelo_ms"":185.10000610351562,""Oscilacion_Vertical"":8.880000305175782,""Ratio_Vertical"":5.380000114440918,""Desnivel_Positivo"":2,""Desnivel_Negativo"":2},{""Tipo_Fase"":""RWD_STAND"",""Numero_Reps"":5,""Distancia_m"":12.21,""Duracion_s"":19,""Ritmo_Medio_ms"":0.6430000066757202,""Ritmo_Ajustado_Grado"":0.01200000010430813,""Potencia_Media_W"":0,""Potencia_Normalizada_W"":156,""FC_Media"":134,""FC_Maxima"":184,""Calorias"":3,""Cadencia_Media"":0,""Desnivel_Positivo"":0,""Desnivel_Negativo"":0},{""Tipo_Fase"":""RWD_RUN"",""Numero_Reps"":20,""Distancia_m"":7450.63,""Duracion_s"":2057.409,""Ritmo_Medio_ms"":3.621000051498413,""Ritmo_Ajustado_Grado"":3.7539999485015874,""Potencia_Media_W"":301,""Potencia_Normalizada_W"":331,""FC_Media"":157,""FC_Maxima"":190,""Calorias"":435,""Cadencia_Media"":169.0625,""Longitud_Zancada_cm"":127.90999755859376,""Tiempo_Contacto_Suelo_ms"":238.8000030517578,""Oscilacion_Vertical"":8.740000152587891,""Ratio_Vertical"":7.559999942779541,""Desnivel_Positivo"":12,""Desnivel_Negativo"":5},{""Tipo_Fase"":""INTERVAL_WARMUP"",""Numero_Reps"":6,""Distancia_m"":2443.4,""Duracion_s"":706.341,""Ritmo_Medio_ms"":3.4590001106262207,""Ritmo_Ajustado_Grado"":3.375999927520752,""Potencia_Media_W"":288,""Potencia_Normalizada_W"":282,""FC_Media"":143,""FC_Maxima"":154,""Calorias"":141,""Cadencia_Media"":171.15625,""Longitud_Zancada_cm"":117.95,""Tiempo_Contacto_Suelo_ms"":246.1999969482422,""Oscilacion_Vertical"":9.219999694824219,""Ratio_Vertical"":7.940000057220459,""Desnivel_Positivo"":1,""Desnivel_Negativo"":1},{""Tipo_Fase"":""INTERVAL_RECOVERY"",""Numero_Reps"":14,""Distancia_m"":2092.8,""Duracion_s"":1412.843,""Ritmo_Medio_ms"":1.4809999465942383,""Ritmo_Ajustado_Grado"":1.725000023841858,""Potencia_Media_W"":127,""Potencia_Normalizada_W"":257,""FC_Media"":152,""FC_Maxima"":190,""Calorias"":247,""Cadencia_Media"":119.453125,""Longitud_Zancada_cm"":83.82000122070313,""Tiempo_Contacto_Suelo_ms"":310.29998779296875,""Oscilacion_Vertical"":6.769999694824219,""Ratio_Vertical"":9.130000114440918,""Desnivel_Positivo"":9,""Desnivel_Negativo"":5},{""Tipo_Fase"":""RWD_WALK"",""Numero_Reps"":24,""Distancia_m"":1073.34,""Duracion_s"":784.668,""Ritmo_Medio_ms"":1.3680000305175781,""Ritmo_Ajustado_Grado"":1.2269999980926514,""Potencia_Media_W"":72,""Potencia_Normalizada_W"":168,""FC_Media"":152,""FC_Maxima"":187,""Calorias"":137,""Cadencia_Media"":97.328125,""Longitud_Zancada_cm"":74.09000244140626,""Tiempo_Contacto_Suelo_ms"":417.29998779296875,""Oscilacion_Vertical"":5.80999984741211,""Ratio_Vertical"":8.109999656677246,""Desnivel_Positivo"":0,""Desnivel_Negativo"":4}]","≈1:41 x14 (INTERVAL_RECOVERY)",24225898296,"2026-09-03 10:31:50","Benito Juárez - Jueves","running","8.54","47.69",574,155,190,148.125,7.969999694824219,245.1999969482422,118.5300048828125,3.799999952316284,3.4000000953674316,"",""
"[{""Tipo_Fase"":""INTERVAL_ACTIVE"",""Numero_Reps"":1,""Distancia_m"":639.52,""Duracion_s"":218.698,""Ritmo_Medio_ms"":2.9240000247955322,""Ritmo_Ajustado_Grado"":2.99399995803833,""Potencia_Media_W"":259,""Potencia_Normalizada_W"":264,""FC_Media"":132,""FC_Maxima"":149,""Calorias"":41,""Cadencia_Media"":165.78125,""Longitud_Zancada_cm"":105.18000488281251,""Tiempo_Contacto_Suelo_ms"":258,""Oscilacion_Vertical"":8.94000015258789,""Ratio_Vertical"":8.5600004196167,""Desnivel_Positivo"":2,""Desnivel_Negativo"":0},{""Tipo_Fase"":""RWD_RUN"",""Numero_Reps"":2,""Distancia_m"":635.37,""Duracion_s"":216.681,""Ritmo_Medio_ms"":2.931999921798706,""Ritmo_Ajustado_Grado"":3.020999908447266,""Potencia_Media_W"":262,""Potencia_Normalizada_W"":264,""FC_Media"":132,""FC_Maxima"":149,""Calorias"":40,""Cadencia_Media"":167.3125,""Longitud_Zancada_cm"":105.18000488281251,""Tiempo_Contacto_Suelo_ms"":258,""Oscilacion_Vertical"":8.94000015258789,""Ratio_Vertical"":8.5600004196167,""Desnivel_Positivo"":2,""Desnivel_Negativo"":0},{""Tipo_Fase"":""RWD_STAND"",""Numero_Reps"":1,""Distancia_m"":4.15,""Duracion_s"":2,""Ritmo_Medio_ms"":2.075000047683716,""Ritmo_Ajustado_Grado"":0,""Potencia_Media_W"":0,""Potencia_Normalizada_W"":211,""FC_Media"":134,""FC_Maxima"":134,""Calorias"":0,""Cadencia_Media"":0,""Desnivel_Positivo"":0,""Desnivel_Negativo"":0}]","",24225895266,"2026-09-03 10:27:18","Benito Juárez Running","running","0.64","3.64",41,132,149,165.796875,8.94000015258789,258,105.18000488281251,0.800000011920929,0,"",""
"[{""Tipo_Fase"":""INTERVAL_ACTIVE"",""Numero_Reps"":1,""Distancia_m"":10015.5,""Duracion_s"":2933.986,""Ritmo_Medio_ms"":3.4140000343322754,""Ritmo_Ajustado_Grado"":3.4130001068115234,""Potencia_Media_W"":295,""Potencia_Normalizada_W"":296,""FC_Media"":151,""FC_Maxima"":166,""Calorias"":625,""Cadencia_Media"":175.25,""Longitud_Zancada_cm"":116.25999755859375,""Tiempo_Contacto_Suelo_ms"":244.1999969482422,""Oscilacion_Vertical"":9.200000000000001,""Ratio_Vertical"":7.920000076293945,""Desnivel_Positivo"":25,""Desnivel_Negativo"":20},{""Tipo_Fase"":""RWD_RUN"",""Numero_Reps"":1,""Distancia_m"":10015.5,""Duracion_s"":2933.97,""Ritmo_Medio_ms"":3.4140000343322754,""Ritmo_Ajustado_Grado"":3.4130001068115234,""Potencia_Media_W"":295,""Potencia_Normalizada_W"":296,""FC_Media"":151,""FC_Maxima"":166,""Calorias"":625,""Cadencia_Media"":175.25,""Longitud_Zancada_cm"":116.25999755859375,""Tiempo_Contacto_Suelo_ms"":244.1999969482422,""Oscilacion_Vertical"":9.200000000000001,""Ratio_Vertical"":7.920000076293945,""Desnivel_Positivo"":25,""Desnivel_Negativo"":20}]","",24215703950,"2026-09-02 14:04:18","Coyoacán Running","running","10.02","48.90",625,151,166,175.265625,9.200000000000001,244.1999969482422,116.25999755859375,3.299999952316284,0,"",""
"[{""Tipo_Fase"":""RWD_STAND"",""Numero_Reps"":6,""Distancia_m"":21.81,""Duracion_s"":114.917,""Ritmo_Medio_ms"":0.1899999976158142,""Ritmo_Ajustado_Grado"":0,""Potencia_Media_W"":0,""Potencia_Normalizada_W"":33,""FC_Media"":102,""FC_Maxima"":130,""Calorias"":6,""Cadencia_Media"":0,""Desnivel_Positivo"":0,""Desnivel_Negativo"":0},{""Tipo_Fase"":""RWD_WALK"",""Numero_Reps"":19,""Distancia_m"":588.55,""Duracion_s"":512.889,""Ritmo_Medio_ms"":1.1480000019073486,""Ritmo_Ajustado_Grado"":1.0989999771118164,""Potencia_Media_W"":53,""Potencia_Normalizada_W"":148,""FC_Media"":132,""FC_Maxima"":182,""Calorias"":68,""Cadencia_Media"":76.265625,""Longitud_Zancada_cm"":77.64000244140625,""Tiempo_Contacto_Suelo_ms"":407,""Oscilacion_Vertical"":5.690000152587891,""Ratio_Vertical"":7.730000019073486,""Desnivel_Positivo"":0,""Desnivel_Negativo"":2},{""Tipo_Fase"":""RWD_RUN"",""Numero_Reps"":14,""Distancia_m"":8933.99,""Duracion_s"":2598.281,""Ritmo_Medio_ms"":3.4379999637603764,""Ritmo_Ajustado_Grado"":3.4590001106262207,""Potencia_Media_W"":289,""Potencia_Normalizada_W"":316,""FC_Media"":146,""FC_Maxima"":188,""Calorias"":511,""Cadencia_Media"":170.984375,""Longitud_Zancada_cm"":119.45,""Tiempo_Contacto_Suelo_ms"":245.39999389648438,""Oscilacion_Vertical"":8.969999694824219,""Ratio_Vertical"":7.960000038146973,""Desnivel_Positivo"":7,""Desnivel_Negativo"":2},{""Tipo_Fase"":""INTERVAL_WARMUP"",""Numero_Reps"":6,""Distancia_m"":3556.88,""Duracion_s"":1020.373,""Ritmo_Medio_ms"":3.4860000610351562,""Ritmo_Ajustado_Grado"":3.403000116348267,""Potencia_Media_W"":289,""Potencia_Normalizada_W"":289,""FC_Media"":135,""FC_Maxima"":165,""Calorias"":197,""Cadencia_Media"":171.5,""Longitud_Zancada_cm"":117.3300048828125,""Tiempo_Contacto_Suelo_ms"":243,""Oscilacion_Vertical"":9.130000305175782,""Ratio_Vertical"":7.869999885559082,""Desnivel_Positivo"":4,""Desnivel_Negativo"":1},{""Tipo_Fase"":""INTERVAL_ACTIVE"",""Numero_Reps"":2,""Distancia_m"":3183.43,""Duracion_s"":646.4,""Ritmo_Medio_ms"":4.925000190734863,""Ritmo_Ajustado_Grado"":4.863999843597412,""Potencia_Media_W"":394,""Potencia_Normalizada_W"":390,""FC_Media"":175,""FC_Maxima"":188,""Calorias"":164,""Cadencia_Media"":185.578125,""Longitud_Zancada_cm"":156.55,""Tiempo_Contacto_Suelo_ms"":194.39999389648438,""Oscilacion_Vertical"":9.45999984741211,""Ratio_Vertical"":6.079999923706055,""Desnivel_Positivo"":1,""Desnivel_Negativo"":0},{""Tipo_Fase"":""INTERVAL_COOLDOWN"",""Numero_Reps"":1,""Distancia_m"":2003.23,""Duracion_s"":819.948,""Ritmo_Medio_ms"":2.443000078201294,""Ritmo_Ajustado_Grado"":2.4730000495910645,""Potencia_Media_W"":213,""Potencia_Normalizada_W"":240,""FC_Media"":138,""FC_Maxima"":188,""Calorias"":136,""Cadencia_Media"":158.0625,""Longitud_Zancada_cm"":94.95,""Tiempo_Contacto_Suelo_ms"":282.1000061035156,""Oscilacion_Vertical"":8.530000305175781,""Ratio_Vertical"":9.489999771118164,""Desnivel_Positivo"":1,""Desnivel_Negativo"":1},{""Tipo_Fase"":""INTERVAL_RECOVERY"",""Numero_Reps"":5,""Distancia_m"":800.82,""Duracion_s"":739.32,""Ritmo_Medio_ms"":1.0829999446868896,""Ritmo_Ajustado_Grado"":1.2170000076293945,""Potencia_Media_W"":71,""Potencia_Normalizada_W"":198,""FC_Media"":127,""FC_Maxima"":187,""Calorias"":88,""Cadencia_Media"":78.640625,""Longitud_Zancada_cm"":85.22000122070312,""Tiempo_Contacto_Suelo_ms"":310.1000061035156,""Oscilacion_Vertical"":6.1000000000000005,""Ratio_Vertical"":8.550000190734863,""Desnivel_Positivo"":1,""Desnivel_Negativo"":2}]","≈2:28 x5 (INTERVAL_RECOVERY)",24197143501,"2026-09-01 06:50:41","Benito Juárez - Martes","running","9.54","53.77",585,142,188,149.75,8.540000152587892,246.3000030517578,117.9,3.4000000953674316,2.700000047683716,"",""
"[{""Tipo_Fase"":""INTERVAL_ACTIVE"",""Numero_Reps"":1,""Distancia_m"":8035.53,""Duracion_s"":2642.954,""Ritmo_Medio_ms"":3.0399999618530273,""Ritmo_Ajustado_Grado"":3.0350000858306885,""Potencia_Media_W"":260,""Potencia_Normalizada_W"":260,""FC_Media"":138,""FC_Maxima"":149,""Calorias"":498,""Cadencia_Media"":172.28125,""Longitud_Zancada_cm"":105.23000488281251,""Tiempo_Contacto_Suelo_ms"":256.1000061035156,""Oscilacion_Vertical"":8.930000305175781,""Ratio_Vertical"":8.489999771118164,""Desnivel_Positivo"":3,""Desnivel_Negativo"":6},{""Tipo_Fase"":""RWD_STAND"",""Numero_Reps"":2,""Distancia_m"":14.3,""Duracion_s"":4.737,""Ritmo_Medio_ms"":3.0190000534057617,""Ritmo_Ajustado_Grado"":0,""Potencia_Media_W"":0,""Potencia_Normalizada_W"":180,""FC_Media"":136,""FC_Maxima"":137,""Calorias"":1,""Cadencia_Media"":0,""Desnivel_Positivo"":0,""Desnivel_Negativo"":0},{""Tipo_Fase"":""RWD_RUN"",""Numero_Reps"":3,""Distancia_m"":8021.23,""Duracion_s"":2638.199,""Ritmo_Medio_ms"":3.0399999618530273,""Ritmo_Ajustado_Grado"":3.0399999618530273,""Potencia_Media_W"":260,""Potencia_Normalizada_W"":261,""FC_Media"":138,""FC_Maxima"":149,""Calorias"":497,""Cadencia_Media"":172.609375,""Longitud_Zancada_cm"":105.23000488281251,""Tiempo_Contacto_Suelo_ms"":256.1000061035156,""Oscilacion_Vertical"":8.930000305175781,""Ratio_Vertical"":8.489999771118164,""Desnivel_Positivo"":3,""Desnivel_Negativo"":6}]","",24190112949,"2026-08-31 16:41:50","Benito Juárez - Lunes recuperacion","running","8.04","44.05",498,138,149,172.296875,8.930000305175781,256.1000061035156,105.23000488281251,2.5999999046325684,0,"",""
